idx,true_genre,track_id,cqt_path,audio_path,filename,num_segments,clip_sec,rng_seed,drive_file_id
0,blues,1009696,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1009696\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1009696\1009696.mp3,1009696.mp3,10,5.0,0,1d5DldxuCMiQqS_hU1SkM5DG4rQ_ZrinX
1,blues,1011644,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1011644\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1011644\1011644.mp3,1011644.mp3,10,5.0,0,1Wg80lcrsYPvZJPD4X4NB45PRId4TsSYc
2,blues,1011645,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1011645\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1011645\1011645.mp3,1011645.mp3,10,5.0,0,1xUbczGYt1fZ_G7AgeX8ugubYCCbQGW2u
3,blues,1028272,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1028272\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1028272\1028272.mp3,1028272.mp3,10,5.0,0,1D97VktMT5tZXB_prSyYZF_AYcb1V42OY
4,blues,1032839,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1032839\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1032839\1032839.mp3,1032839.mp3,10,5.0,0,1PUzFoxDMXEc0U5xXftvJP5orHR70ibG-
5,blues,1032913,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1032913\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1032913\1032913.mp3,1032913.mp3,10,5.0,0,1SXBucg8AxmdYx-bNhIE23PPJ50kwt7J4
6,blues,1041157,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1041157\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1041157\1041157.mp3,1041157.mp3,10,5.0,0,1jPkh9kQ7NFQqQBWv451WHBzLz0l6XDEH
7,blues,1043916,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1043916\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1043916\1043916.mp3,1043916.mp3,10,5.0,0,1uXkIvss9VZb18KXFSeW5gY5bCrOIBm5z
8,blues,1062464,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1062464\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1062464\1062464.mp3,1062464.mp3,10,5.0,0,1BiTqDntzrLHd5Gq0Q9HIjZy-ROSuSWze
9,blues,1062465,C:\Yukawa\Lab\Dataset\MTG-Jamendo-9mapping\9genre_music200_cqt\blues\1062465\cqt.npy,C:\Yukawa\music-reco-Jamendo-2-public\audio\blues\1062465\1062465.mp3,1062465.mp3,10,5.0,0,13AOw7utrjwCcvzIUxa3ZPorfm9DBk_S9
